Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Robert Robertson,East Vanessa,Frontend Developer,C#,Google Cloud Engineer,39,0,3,5,7889
Michael Gallagher,Gardnerfurt,Data Scientist,JavaScript,AWS Certified Developer,58,2,132,10,1113
Ashley Lewis,Coryland,Database Administrator,C#,Cisco CCNA,58,6,108,4,7123
Ivan Roberts,Careychester,AI/ML Engineer,JavaScript,AWS Certified Developer,28,3,96,1,7929
Wanda Lara,North Cameronville,Cybersecurity Specialist,PHP,Google Cloud Engineer,39,15,83,8,5517
Joshua Jackson,West Christinachester,Cybersecurity Specialist,Ruby,Oracle Certified Professional,36,0,78,9,1470
Heather Price,Patriciaport,Database Administrator,PHP,AWS Certified Developer,57,21,109,2,4358
Lisa Hoover,East Deborah,Frontend Developer,JavaScript,CompTIA Security+,25,4,102,3,5043
Susan Sanders,Melissaton,Cloud Architect,TypeScript,PMI-ACP,25,5,100,5,6562
Abigail Moore,Sarahshire,Database Administrator,PHP,Certified Ethical Hacker,50,3,50,9,4597
Lindsay Jones,North Nicolemouth,DevOps Engineer,TypeScript,AWS Certified Developer,46,26,57,8,4465
Miss Felicia Lin,Jonesstad,Data Scientist,PHP,Oracle Certified Professional,39,16,3,4,5435
David Crawford,New Alexandraside,Cybersecurity Specialist,Java,PMI-ACP,25,0,7,5,6246
Mr. Thomas Diaz DDS,Michaelmouth,Cybersecurity Specialist,Java,Certified Ethical Hacker,34,13,135,7,5965
Antonio Mercado,Williamfurt,Mobile Developer,PHP,Oracle Certified Professional,26,5,57,3,2362
Sally Moore,Lake Davidport,Mobile Developer,C#,AWS Certified Developer,33,9,28,4,5617
Patty Castillo,North Christineborough,Cybersecurity Specialist,Kotlin,AWS Certified Solutions Architect,25,5,16,3,5218
Ann Powell,Lake Jose,Mobile Developer,PHP,Certified Scrum Master,57,7,29,8,7974
Mr. Francisco Becker,Jordanville,Mobile Developer,Java,Cisco CCNA,41,2,99,0,6666
Shannon Pierce,Port Anthony,Backend Developer,PHP,Cisco CCNA,42,17,56,3,3154
Andrew Edwards,Hansonshire,Data Scientist,Go,CompTIA Security+,49,18,6,3,5999
Elizabeth Brown,North Jonathonshire,Backend Developer,Go,CompTIA Security+,53,19,48,6,6450
Karen Anderson,Lake Kevinfurt,AI/ML Engineer,Java,PMI-ACP,58,28,120,9,5721
Rachel Dalton,New Natalie,Mobile Developer,Swift,Certified Scrum Master,40,15,45,4,2171
Joseph Smith,Port Dianafurt,Mobile Developer,Python,Certified Scrum Master,36,9,10,6,4706
Ms. Lisa Adams,North Michael,AI/ML Engineer,Python,Microsoft Azure Fundamentals,42,8,71,3,5884
Jennifer Jennings,Gordonbury,QA Tester,Python,AWS Certified Solutions Architect,28,2,139,0,6347
Chelsea Serrano,Emmaton,Frontend Developer,Ruby,Cisco CCNA,28,7,84,5,1889
Nicole Patterson,South Lindabury,Cybersecurity Specialist,Java,Certified Scrum Master,27,4,87,1,4240
Peter Phelps,Port Michael,Database Administrator,Python,CompTIA Security+,41,20,79,8,6600
Jasmine Morales,West Wandaville,Mobile Developer,JavaScript,Oracle Certified Professional,60,33,50,5,1479
Kaitlyn Roberts,Blakeland,QA Tester,JavaScript,CompTIA Security+,29,7,25,2,854
Lauren Wade,South Randyburgh,Data Scientist,Kotlin,Certified Scrum Master,55,16,64,2,4090
Antonio Mercer,Port Jeffrey,Data Scientist,JavaScript,Google Cloud Engineer,52,8,66,1,1368
Paula Aguilar,Stephanieland,Cybersecurity Specialist,PHP,Cisco CCNA,27,5,73,10,4367
Pamela Briggs,Bonniebury,Backend Developer,Go,Microsoft Azure Fundamentals,33,0,74,9,7410
Laurie Burns,Wattsborough,Mobile Developer,Java,Google Cloud Engineer,59,16,106,5,3209
Andrea Velez,Michellefort,DevOps Engineer,Python,Certified Scrum Master,36,14,80,4,7888
Brenda Obrien,Bellmouth,Frontend Developer,Python,Microsoft Azure Fundamentals,57,27,87,6,7365
Austin Sparks,South Johnshire,AI/ML Engineer,TypeScript,PMI-ACP,45,11,120,9,3781
Kevin Taylor,South Melissafurt,AI/ML Engineer,Kotlin,Cisco CCNA,47,19,59,1,911
Barbara Thomas,North Alexandria,DevOps Engineer,Swift,AWS Certified Developer,25,4,101,9,2313
Mrs. Julia Weber,Lake Katrina,Backend Developer,Java,Certified Scrum Master,57,32,8,6,4239
Richard Hughes,East Jamie,Database Administrator,Python,Microsoft Azure Fundamentals,33,6,19,0,1694
Zachary Hood,Port Michaelburgh,Data Scientist,Java,AWS Certified Developer,24,3,79,5,3570
Bruce Herrera,Port Danielshire,Cloud Architect,JavaScript,Oracle Certified Professional,58,11,125,8,5122
Shelby Santos,East Antonio,Mobile Developer,Go,Oracle Certified Professional,37,3,147,0,5920
Gerald Blackburn,Russellton,AI/ML Engineer,Swift,Google Cloud Engineer,56,34,9,5,1573
Mr. Shaun Fitzgerald,Johnsonberg,DevOps Engineer,Ruby,AWS Certified Developer,51,13,139,2,1245
Christopher Sanchez,Port Johnland,Data Scientist,PHP,Google Cloud Engineer,37,2,148,8,1264
Kevin Chapman,East Kevinshire,Cybersecurity Specialist,JavaScript,CompTIA Security+,30,2,145,2,6316
Michael Rose,New Dennis,Data Scientist,TypeScript,PMI-ACP,53,30,148,9,4041
Taylor French,North Jenniferbury,Mobile Developer,TypeScript,AWS Certified Solutions Architect,38,8,116,5,7974
Joshua Butler,Perezshire,DevOps Engineer,TypeScript,Certified Scrum Master,52,18,131,5,4639
Jonathan Jacobs,Jonesstad,DevOps Engineer,Kotlin,Certified Ethical Hacker,43,8,38,3,5469
Mckenzie Clark,Coxborough,Cybersecurity Specialist,Go,PMI-ACP,37,4,37,9,3722
Sandra Gates,Lake James,Cybersecurity Specialist,Java,AWS Certified Solutions Architect,38,13,118,7,5365
Lisa Martinez,South Nicoleton,Backend Developer,Swift,PMI-ACP,34,0,46,6,1656
Bruce Lowery,Starkborough,Frontend Developer,TypeScript,AWS Certified Developer,34,3,109,4,3341
Jason Anthony,Goodwinberg,Backend Developer,Swift,Certified Scrum Master,52,7,25,9,1544
Brenda Munoz,North Robertshire,AI/ML Engineer,C#,AWS Certified Developer,55,29,2,8,2597
John Burnett,East Damonfurt,Backend Developer,Java,Cisco CCNA,36,16,149,1,5812
Lee Vincent,Theresamouth,AI/ML Engineer,Python,PMI-ACP,31,4,80,7,3605
Roy Rodriguez,Lake Becky,Cloud Architect,PHP,AWS Certified Solutions Architect,50,10,18,6,5237
Laurie Thomas,Port Sandra,Cloud Architect,TypeScript,PMI-ACP,44,1,12,9,6134
Ashley Cardenas,North Thomasport,Frontend Developer,Java,Cisco CCNA,60,5,12,2,2304
Alicia Harris,South Catherineview,Backend Developer,PHP,CompTIA Security+,22,2,119,10,4914
Dwayne Wagner,Martinbury,Cybersecurity Specialist,Ruby,Microsoft Azure Fundamentals,32,5,109,4,4466
Gary Williams MD,Nobleville,DevOps Engineer,Kotlin,AWS Certified Solutions Architect,48,20,96,7,1381
Devon Pitts,Port Devinburgh,DevOps Engineer,PHP,Microsoft Azure Fundamentals,27,5,24,4,817
Andrew Velez,New Kimberly,Data Scientist,PHP,AWS Certified Solutions Architect,30,10,148,4,4072
Mary Miller,Josephfort,Cloud Architect,JavaScript,Google Cloud Engineer,59,15,137,1,4893
Thomas Salazar,Lake Nicholefort,Cloud Architect,Swift,AWS Certified Solutions Architect,30,7,57,5,6498
Michelle Johnson MD,Lake Kevinberg,Cloud Architect,JavaScript,CompTIA Security+,37,17,65,8,5638
Chelsey Yu,Port Ryan,Data Scientist,TypeScript,Oracle Certified Professional,57,18,129,8,6680
Dawn King,Joshuaton,Cybersecurity Specialist,JavaScript,Microsoft Azure Fundamentals,49,11,94,4,952
Mary Green,East Jennifer,DevOps Engineer,JavaScript,AWS Certified Developer,53,8,39,1,6199
Alex Castillo,West Danielle,Cloud Architect,Python,Certified Ethical Hacker,42,18,97,8,7706
James Kelly,North Michaelshire,Data Scientist,C#,Certified Scrum Master,53,11,83,5,6619
Megan Myers,Payneburgh,Backend Developer,Go,Certified Ethical Hacker,38,5,126,9,4988
David Hall,Amandachester,Backend Developer,PHP,Cisco CCNA,29,8,85,3,1462
David Lopez,Latoyaberg,Cybersecurity Specialist,TypeScript,Certified Ethical Hacker,27,3,86,7,5442
Keith Miller,Edwardshaven,Database Administrator,Ruby,CompTIA Security+,24,3,2,0,7179
Matthew Brown,Lake Joeburgh,DevOps Engineer,Python,Google Cloud Engineer,33,3,80,10,7932
Miranda Wise,Trevortown,QA Tester,Swift,Oracle Certified Professional,26,1,51,9,7001
Rebekah Turner,Janiceside,Mobile Developer,Java,Certified Scrum Master,60,4,16,4,7103
Andrew Maxwell,Lopezberg,QA Tester,Kotlin,Certified Scrum Master,39,13,94,4,3677
Traci Green,East Thomaschester,AI/ML Engineer,Ruby,AWS Certified Solutions Architect,60,3,109,4,7990
Robyn Rose,South Kathleen,Data Scientist,TypeScript,Certified Ethical Hacker,47,5,95,8,7095
Sara Fields,Dawnchester,Data Scientist,Java,Microsoft Azure Fundamentals,22,1,47,0,1086
Robert Odonnell,North Michaelside,Backend Developer,TypeScript,Microsoft Azure Fundamentals,45,17,147,5,914
Chad Taylor,Rogersberg,AI/ML Engineer,TypeScript,AWS Certified Solutions Architect,51,20,103,0,7982
Troy Daniels,New Megan,Mobile Developer,Python,Cisco CCNA,40,5,70,8,7941
Robert Murray,Dixonland,Frontend Developer,TypeScript,Google Cloud Engineer,25,4,74,4,7761
Monique Smith,Aaronport,Cloud Architect,Go,AWS Certified Solutions Architect,27,0,13,5,1434
Amanda Parker,Rodriguezhaven,Data Scientist,Go,PMI-ACP,35,4,11,9,6606
Katherine Diaz,East Paulborough,QA Tester,TypeScript,AWS Certified Developer,30,6,20,5,4575
Cindy Anderson,Sotoview,Data Scientist,TypeScript,Microsoft Azure Fundamentals,25,4,79,7,1927
Dustin Brown,Contreraschester,AI/ML Engineer,C#,AWS Certified Solutions Architect,42,10,27,9,1845
Mr. Sean Fischer,New Cynthiaville,DevOps Engineer,JavaScript,PMI-ACP,22,1,124,3,1973
Margaret Johnson,Victoriastad,DevOps Engineer,JavaScript,Google Cloud Engineer,54,7,46,7,3592
Kathleen Guerrero,South Cameron,DevOps Engineer,PHP,Certified Ethical Hacker,53,7,68,2,5671
Brian Pena,Lake Richard,AI/ML Engineer,Kotlin,AWS Certified Solutions Architect,52,25,10,0,2955
William Allen,Port Garyfurt,Cybersecurity Specialist,JavaScript,AWS Certified Solutions Architect,52,11,91,8,3076
Bradley Powell,Davidsonmouth,Data Scientist,Ruby,CompTIA Security+,49,23,81,5,7578
Derek Kelly,South Kyleberg,AI/ML Engineer,C#,Oracle Certified Professional,33,7,69,7,5327
Michael Mejia,Haneyfurt,Backend Developer,Python,Google Cloud Engineer,52,31,117,6,7346
Shelly Fleming,Hayesside,Data Scientist,C#,Microsoft Azure Fundamentals,42,19,126,9,6799
Jamie Cox,Ramosport,Cloud Architect,Kotlin,AWS Certified Solutions Architect,30,4,66,7,5241
Hailey Guerrero,Lewisland,Frontend Developer,PHP,Google Cloud Engineer,23,3,73,0,1172
Miss Theresa Daniel,Ryanburgh,DevOps Engineer,Python,Cisco CCNA,34,2,46,1,5072
Mark Herman,Dixonview,Backend Developer,JavaScript,Microsoft Azure Fundamentals,35,3,2,1,7747
John Kelly,Bridgesfurt,Backend Developer,Python,CompTIA Security+,58,21,106,5,3377
Stephanie Patterson,South Mitchellside,Data Scientist,Java,AWS Certified Developer,42,4,127,3,4553
Madison Barnes,Mariafort,Cybersecurity Specialist,PHP,Certified Ethical Hacker,24,4,146,0,4171
Tina Wood,North Amyberg,Cloud Architect,Kotlin,AWS Certified Developer,40,8,78,9,5426
Steven Wright,Port Susanton,Data Scientist,TypeScript,AWS Certified Solutions Architect,25,0,88,9,1908
Angelica Collins,North Sheila,Database Administrator,JavaScript,Certified Scrum Master,37,14,38,7,3730
Dana Snow,Latoyamouth,Backend Developer,TypeScript,Certified Ethical Hacker,32,12,20,9,4974
Mr. Derrick Jackson,Whiteton,Data Scientist,Python,CompTIA Security+,49,15,69,6,6039
Amanda Roberson,Jacksonborough,Mobile Developer,C#,Certified Scrum Master,43,15,52,9,3849
Ryan Moreno,Tonyaville,Mobile Developer,Ruby,Oracle Certified Professional,56,14,73,8,1024
Danielle Fisher,West Samanthamouth,Cybersecurity Specialist,Swift,AWS Certified Solutions Architect,44,17,147,7,3634
Joshua Fitzgerald,Reynoldsshire,Frontend Developer,C#,Certified Scrum Master,38,3,138,5,7839
Christopher Barr,West Michelle,Data Scientist,C#,Google Cloud Engineer,22,1,78,4,3104
Harold Lawson,Jenniferfurt,Mobile Developer,Ruby,Oracle Certified Professional,48,25,133,8,3497
Henry Burgess,East Davidchester,QA Tester,Ruby,Cisco CCNA,53,8,125,1,6663
Catherine Stephens,Torresberg,Data Scientist,Kotlin,AWS Certified Solutions Architect,44,18,47,2,5296
Alison Hall,East Kevinshire,Mobile Developer,Kotlin,Cisco CCNA,32,3,138,7,7982
Alfred Jennings,Amyside,DevOps Engineer,Go,Cisco CCNA,32,3,0,1,1774
Timothy Velasquez,Alvaradomouth,Cloud Architect,Go,CompTIA Security+,49,3,81,9,5502
Tracy Smith,Lake Dana,Frontend Developer,Kotlin,CompTIA Security+,31,3,136,7,7420
Mr. Joel David,Marthaview,Frontend Developer,C#,AWS Certified Solutions Architect,40,13,36,2,3860
Cathy Ryan,North Austin,QA Tester,Swift,Microsoft Azure Fundamentals,25,1,68,9,4018
David Crosby,Anneton,Backend Developer,C#,Oracle Certified Professional,37,16,69,1,6355
Natalie Mclaughlin,New Stephen,DevOps Engineer,Go,AWS Certified Developer,42,21,136,10,6681
Vanessa Munoz,Sharonmouth,Backend Developer,TypeScript,CompTIA Security+,38,0,146,0,2421
Darren Campos,Shanechester,Frontend Developer,C#,Cisco CCNA,47,27,103,3,938
Richard Davis,West Michellechester,DevOps Engineer,Kotlin,Certified Scrum Master,36,9,108,6,1004
Bobby Hansen,South Gregory,Mobile Developer,TypeScript,Certified Ethical Hacker,59,34,27,10,2615
Robert Solomon,South Kevin,DevOps Engineer,Swift,Certified Ethical Hacker,44,17,107,3,1630
Michael Roberts,Coxview,Cloud Architect,TypeScript,Certified Scrum Master,33,1,8,3,5102
Bonnie Buchanan,Patriciaview,AI/ML Engineer,C#,Oracle Certified Professional,23,2,143,9,5263
Deanna Morris,Austinfort,Database Administrator,PHP,Certified Scrum Master,22,0,103,7,2025
Roger Solis,Johnsonstad,Backend Developer,PHP,Oracle Certified Professional,25,0,42,5,7292
William White,Lake Allen,Database Administrator,Java,AWS Certified Developer,49,15,150,0,3483
Craig Anderson,East Jamesmouth,Cybersecurity Specialist,Python,Cisco CCNA,56,8,75,6,5281
Suzanne Ramirez,Middletonburgh,Database Administrator,Go,PMI-ACP,24,4,127,0,5280
Jason Brown,West Loretta,Frontend Developer,Go,Microsoft Azure Fundamentals,38,15,126,1,963
Evelyn Perez,Bowenberg,Backend Developer,C#,Certified Scrum Master,60,25,139,1,1703
Sara Mathews,Greenstad,Data Scientist,Swift,Microsoft Azure Fundamentals,42,14,66,5,833
Nancy Case,East Kayla,Data Scientist,PHP,PMI-ACP,56,24,132,5,7014
Kenneth Dickerson,South Victortown,Cloud Architect,Go,CompTIA Security+,46,9,2,0,5352
Kelly Riley,Jacobside,AI/ML Engineer,Swift,CompTIA Security+,47,6,9,10,5359
Michelle Lewis,South Andrea,Frontend Developer,JavaScript,Certified Scrum Master,22,0,106,10,2332
Elizabeth Kelley,Williamport,Mobile Developer,C#,CompTIA Security+,54,5,17,4,2375
Dawn Reese,Port Justin,AI/ML Engineer,Python,Cisco CCNA,60,11,32,10,2579
Jason Cline,North Harold,AI/ML Engineer,PHP,Certified Ethical Hacker,47,15,137,1,7540
Eric Nguyen,New Jeff,Cybersecurity Specialist,Python,Microsoft Azure Fundamentals,49,15,68,10,1458
Christopher Martin,Lake Alexis,AI/ML Engineer,PHP,AWS Certified Developer,43,17,18,9,1206
Ian Thomas,Anthonyberg,DevOps Engineer,Go,Certified Scrum Master,41,16,104,6,1116
Jason Wolf,Millerhaven,Backend Developer,C#,PMI-ACP,39,1,66,10,7406
Christopher Turner,East Johnton,Database Administrator,Ruby,AWS Certified Developer,43,12,142,7,4815
Jennifer Jones,West Jacobborough,DevOps Engineer,Swift,PMI-ACP,55,28,24,10,6408
Caitlyn Gomez,Lauraborough,Database Administrator,C#,PMI-ACP,56,33,39,4,6517
Rebecca Allen,Port Jennifer,Data Scientist,PHP,Cisco CCNA,30,6,7,6,6818
Adrienne Hill,Lake Sethland,Cloud Architect,Ruby,Certified Ethical Hacker,31,0,14,7,4013
Alexander Hurst,Wagnerton,QA Tester,JavaScript,AWS Certified Solutions Architect,60,2,84,10,2439
Julie Warner,Reidland,Mobile Developer,C#,CompTIA Security+,28,5,120,8,1378
Taylor Gray,Nguyenview,Frontend Developer,Python,AWS Certified Solutions Architect,23,3,137,2,2468
Heather Richardson,Port Stephenton,Database Administrator,Go,Cisco CCNA,22,0,121,9,2412
Melissa Williams,Petersland,AI/ML Engineer,Python,AWS Certified Solutions Architect,42,20,75,3,3424
Ms. Kelly Gonzales MD,Reidview,AI/ML Engineer,Go,Cisco CCNA,56,10,144,3,2341
Andres Peterson,Robinhaven,Data Scientist,Java,Certified Ethical Hacker,31,9,114,8,6797
Kim Sandoval,Lake Arianaborough,Database Administrator,Java,Certified Ethical Hacker,33,13,55,8,1251
Brendan Owen,North Lisa,Data Scientist,Go,Microsoft Azure Fundamentals,23,1,86,0,4247
Shelly Sparks,Lake Kristenstad,QA Tester,Swift,AWS Certified Developer,30,7,77,3,7994
Lauren Nash,Dianabury,AI/ML Engineer,Java,Oracle Certified Professional,44,10,5,2,5571
William Woodard,New Bridgetmouth,DevOps Engineer,C#,Oracle Certified Professional,23,3,87,7,6762
Kathryn Gonzalez,North Joshua,DevOps Engineer,C#,Certified Scrum Master,53,0,68,0,6233
Ronald Arnold,West Robert,Cybersecurity Specialist,Python,AWS Certified Solutions Architect,50,15,130,3,3841
Charles Ross,Port Johnside,Frontend Developer,Kotlin,Certified Ethical Hacker,59,27,140,6,6556
Kevin Clark,Lake John,Cloud Architect,Java,Google Cloud Engineer,30,5,102,1,2735
Brianna Pham,West David,Mobile Developer,TypeScript,Google Cloud Engineer,52,15,21,4,2087
Michelle Weber,Port Christopher,Mobile Developer,C#,Certified Ethical Hacker,57,36,79,9,2315
Joshua Curry,Andrewmouth,Backend Developer,PHP,Certified Ethical Hacker,55,24,148,6,6664
Peter Robinson,Port Emily,Data Scientist,Java,Certified Scrum Master,37,11,36,3,1493
Pamela Owen,Chenside,Cloud Architect,C#,Certified Ethical Hacker,46,4,26,6,2093
Christopher Shelton,Gordonton,Backend Developer,Java,Cisco CCNA,44,19,100,9,4085
Ryan Jensen,Schneidermouth,Data Scientist,TypeScript,Certified Scrum Master,23,2,147,2,6860
Michael Wells,Arellanostad,Backend Developer,PHP,AWS Certified Developer,55,0,109,7,7073
Bryan Johnson,North William,QA Tester,Go,AWS Certified Solutions Architect,40,9,58,5,3641
Ashley Cruz,West Brenda,Mobile Developer,C#,Certified Scrum Master,37,17,124,6,2912
Morgan Lawson,South Robert,Backend Developer,PHP,Certified Scrum Master,32,8,40,9,966
Michele Anderson,New Oscarbury,Data Scientist,Java,Microsoft Azure Fundamentals,39,3,20,2,4957
Carlos Wolfe,North Jason,Backend Developer,Ruby,CompTIA Security+,33,9,51,8,2418
Brian Townsend,Crystalmouth,Cloud Architect,PHP,Oracle Certified Professional,58,5,135,6,7196
Kelly Reyes,North Jeffreymouth,DevOps Engineer,TypeScript,CompTIA Security+,44,23,68,3,3027
Anita Perez,Smithshire,Cybersecurity Specialist,Kotlin,PMI-ACP,53,1,65,3,1025
Benjamin Duffy,Amberside,Frontend Developer,Kotlin,Certified Scrum Master,41,17,26,2,5075
Michael Torres,New Austinhaven,Database Administrator,Ruby,Certified Scrum Master,35,8,98,10,1606
Joel Morgan,Wintersville,Cybersecurity Specialist,Swift,Certified Ethical Hacker,44,3,6,8,6796
Jennifer Lawrence,South Erin,Cloud Architect,Go,Google Cloud Engineer,43,13,95,1,6260
Adam Gonzalez,Austinchester,Cloud Architect,Python,CompTIA Security+,38,2,47,9,2815
Jamie Carlson,Ellisontown,Frontend Developer,Go,Cisco CCNA,51,26,132,9,6848
Luke Henderson,South Audrey,Frontend Developer,PHP,AWS Certified Developer,51,13,21,10,2508
Samantha Lewis,North Williamchester,AI/ML Engineer,Kotlin,AWS Certified Solutions Architect,48,14,30,3,2766
Shelley Stephenson,Lake Keith,Data Scientist,Ruby,AWS Certified Developer,35,9,100,5,7974
Robert Jackson,South Melissa,AI/ML Engineer,Go,PMI-ACP,45,9,129,7,2351
Bradley Fields,West Alec,Backend Developer,Java,Certified Ethical Hacker,27,5,108,1,1974
Marcus Powers,West Jessica,QA Tester,Ruby,PMI-ACP,60,12,129,1,7287
John Campbell,Austinmouth,QA Tester,Go,Certified Scrum Master,59,17,113,1,7323
Richard Morales,Adamborough,QA Tester,Go,Certified Ethical Hacker,51,16,68,10,6356
James Gonzalez,Carriemouth,AI/ML Engineer,TypeScript,Certified Scrum Master,58,12,137,2,5934
Seth Davis,Aprilton,Backend Developer,Python,AWS Certified Solutions Architect,53,28,125,5,4476
Gregory Snyder,Dunnside,Backend Developer,Ruby,Certified Ethical Hacker,50,6,143,2,4332
Jared Thomas,Adrianmouth,Database Administrator,PHP,PMI-ACP,23,2,133,8,2675
Erika Spence,Laurenstad,AI/ML Engineer,Go,Oracle Certified Professional,46,3,14,2,6464
Leslie Fisher DVM,South Lisa,Backend Developer,Swift,PMI-ACP,23,1,70,7,5745
Kristen Jones,Acostachester,Data Scientist,Kotlin,Certified Ethical Hacker,28,7,23,5,6684
Francisco Green,Christopherfort,Frontend Developer,Go,Oracle Certified Professional,39,12,24,7,3290
Emily Phillips,Harrisland,Cloud Architect,TypeScript,Certified Ethical Hacker,41,21,3,10,1019
Nathaniel Blake,West Edwardstad,Mobile Developer,Go,Certified Scrum Master,35,1,125,6,2062
Deanna Wilson,North Michellebury,Data Scientist,Python,AWS Certified Developer,25,4,5,7,5948
Heather Chandler,North Anthonyview,Backend Developer,JavaScript,AWS Certified Solutions Architect,33,0,63,7,3145
Jaclyn King,West George,Cybersecurity Specialist,Go,CompTIA Security+,32,8,145,8,7053
Mary Conley,New Patricia,Cybersecurity Specialist,C#,Certified Ethical Hacker,49,3,74,3,6766
Michael Oconnor,Maxwellmouth,DevOps Engineer,Swift,Google Cloud Engineer,39,15,65,3,7745
Vanessa Valencia,East Christinestad,Database Administrator,PHP,Google Cloud Engineer,33,3,140,4,3461
Angela Schultz,Johnsontown,QA Tester,JavaScript,AWS Certified Solutions Architect,32,1,137,2,1193
Cynthia Hernandez,Cochranchester,Cybersecurity Specialist,JavaScript,CompTIA Security+,45,12,19,5,7461
Tyler Carter,Troyfurt,Cloud Architect,PHP,Google Cloud Engineer,35,15,23,1,929
Valerie Lewis,West Stephanie,Mobile Developer,C#,AWS Certified Solutions Architect,50,2,11,1,3903
Katherine Allen,Port Maryberg,AI/ML Engineer,Java,PMI-ACP,54,6,9,2,6168
Joseph Wood,Zacharystad,Cybersecurity Specialist,PHP,AWS Certified Solutions Architect,33,5,3,0,937
Patricia Hardy,Kentside,Frontend Developer,Python,PMI-ACP,45,7,132,10,1689
Amy Sullivan,Danielletown,Data Scientist,C#,PMI-ACP,25,3,1,9,4044
Matthew Boyle,West Amytown,Database Administrator,Ruby,AWS Certified Developer,37,2,126,7,7815
Joshua Miller,Teresaport,AI/ML Engineer,Python,AWS Certified Solutions Architect,27,6,41,5,4137
Jane Williams,North Jenniferfort,Data Scientist,Swift,Oracle Certified Professional,48,7,75,8,1584
Melissa Rojas,North Coreyfort,Backend Developer,Swift,Certified Scrum Master,33,0,9,0,4253
Cory Lewis,Christophertown,Cloud Architect,Ruby,Cisco CCNA,50,22,85,5,1937
Courtney Estrada,West Kevin,Frontend Developer,Swift,PMI-ACP,25,5,90,8,5219
Gary Lowe,Angelachester,Data Scientist,Swift,Microsoft Azure Fundamentals,43,9,124,1,2899
Wendy Ferguson,Goodwinmouth,Mobile Developer,PHP,Microsoft Azure Fundamentals,39,15,36,8,1846
Charles Gould,Lake Joshuahaven,Cybersecurity Specialist,Python,Cisco CCNA,29,7,126,2,7933
Steve Hernandez,Port Karina,Database Administrator,Python,Certified Ethical Hacker,57,29,85,4,7948
Kim Martinez,Raymondville,DevOps Engineer,Swift,Certified Scrum Master,37,15,146,8,7240
Kendra Adams,Port Kevinmouth,Database Administrator,Python,Certified Scrum Master,53,27,78,5,7283
Randy Mitchell,North Jamie,AI/ML Engineer,TypeScript,Google Cloud Engineer,52,7,13,8,1665
